,order_id,order_price_total
0,241423,129.16
1,242832,10.77
2,243330,77.99
3,245275,149.0
4,245595,105.98
6,247524,162.99
7,247643,153.54
8,250275,51.0
9,251302,140.99
11,253220,1609.99
13,253307,285.05
14,254301,28.92
15,254341,34.98
16,254441,49.99
17,254816,276.84
18,256158,386.18
19,256679,13.59
20,256799,7.98
21,257280,260.0
22,258155,33.769999999999996
23,258530,3.79
24,259192,188.74
25,259283,19.99
26,260615,218.17
27,261289,185.99
28,261656,39.99
29,261978,109.99
30,262236,117.97999999999999
31,263733,365.99
32,263738,73.97
33,263996,149.99
35,265614,140.49
36,265951,116.47
37,265968,470.33
38,266727,146.03
40,267194,72.99
41,267375,12.99
42,268174,723.69
43,268234,79.18
46,269440,213.98000000000002
47,272512,109.99
49,274166,170.99
50,274550,108.92999999999999
51,277363,29.99
52,277367,167.99
53,279632,214.68
54,279891,69.99
55,280008,169.98
56,280867,29.99
57,281222,19.99
59,281492,72.97
60,281497,697.72
61,282487,123.46
62,282776,39.0
63,284739,337.98
65,285582,49.99
67,286842,79.99
68,286974,115.41
69,287311,59.99
70,288502,346.98
71,288567,19.98
72,289028,267.98
73,289387,51.29
76,290393,313.94
77,290755,533.17
78,291147,44.99
79,292183,66.49
80,293164,51.0
82,294278,169.99
84,294617,113.21
85,294699,33.98
86,295347,72.19
87,295723,34.99
90,296229,132.98
91,296253,303.96000000000004
92,296436,387.6
93,296502,64.58
94,296611,112.99
96,297076,46.879999999999995
99,297220,112.99
100,297572,56.99
101,297809,14.24
102,298038,259.96000000000004
103,298161,328.0
104,298211,89.99
105,298506,39.99
106,298617,175.96
107,298643,69.99
108,298859,54.99
109,298923,59.95
112,299404,415.11
113,299466,1758.0
114,299545,47.49
115,299546,18.99
116,299556,60.9
117,299561,142.49
118,299563,256.49
119,299564,18.99
120,299571,318.23
121,299578,142.49
122,299579,127.08
123,299586,42.99
124,299597,142.49
125,299608,66.49
126,299609,474.05
127,299610,140.98
128,299623,37.05
129,299634,825.51
130,299637,53.19
131,299648,355.29
132,299650,65.99
133,299655,196.63
134,299659,75.99
135,299667,94.99
136,299673,168.14
137,299674,584.24
138,299681,104.48
139,299696,75.00999999999999
141,299704,12.99
142,299710,122.53
143,299719,39.879999999999995
144,299723,47.48
145,299736,161.49
146,299737,94.99
147,299742,43.68
148,299773,50.34
149,299776,398.99
150,299780,15.19
151,299792,369.54
152,299802,28.49
153,299803,98.79
154,299807,18.99
155,299808,134.89
156,299811,20.89
157,299815,18.99
158,299818,19.94
159,299823,288.79
160,299825,18.99
161,299829,275.49
162,299833,75.04
163,299844,99.99
164,299847,33.24
165,299850,48.97
166,299858,107.33
167,299859,470.24
168,299864,545.28
169,299865,43.69
170,299867,51.28
171,299868,227.04
172,299869,212.99
173,299870,119.69
174,299879,28.49
175,299887,35.14
176,299891,56.99
177,299895,65.55
178,299909,176.69
179,299910,693.49
180,299918,160.53
181,299939,66.49
182,299944,223.21999999999997
183,299945,142.48
184,299947,549.0
185,299959,59.379999999999995
186,299962,113.99
187,299968,7.99
188,299973,56.99
189,299981,16.14
190,299983,273.59
191,299984,19.99
192,299991,18.99
193,300002,80.74
194,300007,28.49
195,300008,59.84
196,300012,31.34
197,300021,142.49
198,300028,65.55
199,300033,56.9
200,300035,909.0
201,300036,23.74
202,300040,795.1
203,300046,35.0
204,300051,42.74
205,300054,27.54
206,300055,190.82
207,300060,42.74
208,300077,94.99
209,300080,56.99
210,300085,86.44
211,300104,369.99
212,300109,66.49
213,300110,53.99
214,300123,49.99
215,300126,61.74
216,300129,19.99
217,300136,12.99
218,300137,311.2
219,300149,174.99
220,300152,1538.0
221,300158,289.0
222,300168,149.99
223,300173,33.98
224,300179,434.96000000000004
225,300184,145.77
226,300185,24.99
227,300188,132.89
228,300189,65.99
229,300192,83.88
230,300193,225.98
231,300199,45.0
232,300203,66.92
233,300207,101.99
234,300208,49.9
235,300213,64.98
236,300218,99.99
237,300223,32.99
238,300235,84.99
239,300241,49.99
240,300252,49.99
241,300254,55.99
242,300257,32.98
243,300258,49.99
244,300262,89.9
245,300263,53.99
246,300265,172.0
247,300268,19.99
248,300271,22.99
249,300273,482.0
250,300281,55.97
251,300290,27.979999999999997
252,300304,68.99
253,300306,59.0
254,300309,59.97
255,300310,96.97999999999999
256,300314,265.98
257,300315,47.97
258,300317,159.98
259,300319,119.99
260,300320,24.99
261,300323,339.99
262,300325,29.9
263,300326,96.97
264,300327,284.99
265,300329,99.98
266,300331,56.980000000000004
267,300333,71.99
268,300336,149.99
269,300339,45.0
270,300346,79.99
271,300347,99.99
272,300354,19.99
273,300362,149.99
274,300364,49.99
276,300368,34.97
277,300369,170.99
278,300371,129.99
279,300375,14.99
280,300379,59.9
281,300380,199.99
282,300385,114.97999999999999
283,300387,429.0
284,300389,84.99
285,300390,72.99
286,300391,287.98
287,300392,17.35
288,300399,101.99
289,300400,149.99
290,300403,19.99
291,300406,397.99
292,300411,94.99
293,300412,69.99
294,300413,49.99
295,300414,46.99
296,300418,101.55
297,300421,182.98
298,300422,119.96
299,300430,68.99
300,300434,105.99
301,300435,283.99
302,300436,49.99
303,300439,73.97
304,300443,234.97
305,300444,59.98
306,300446,45.88
307,300452,169.99
308,300455,523.97
309,300456,49.99
310,300462,39.99
311,300463,19.99
312,300464,152.99
313,300466,59.99
314,300467,81.98
315,300468,89.99
316,300469,59.0
317,300471,54.99
319,300475,1049.6499999999999
320,300476,84.99
321,300482,359.94
322,300485,49.99
323,300495,300.94
324,300497,89.99
325,300498,79.0
326,300506,219.98
327,300512,21.9
328,300513,46.78
329,300518,89.99
330,300525,903.99
331,300527,84.99
332,300528,7.99
333,300530,36.99
334,300531,188.99
335,300532,75.98
336,300533,49.99
337,300536,14.99
338,300540,49.99
339,300541,385.88
340,300544,54.99
341,300546,62.99
342,300547,59.9
343,300551,54.99
344,300553,55.99
345,300554,78.99
346,300565,118.99
347,300566,19.99
349,300582,128.95
350,300586,89.99
352,300604,119.99
353,300610,35.99
354,300613,44.99
355,300615,49.99
356,300616,124.99
357,300626,45.97
358,300627,225.99
359,300637,54.99
360,300639,23.99
361,300646,182.97
362,300650,49.99
363,300655,99.99
364,300656,285.98
365,300660,199.0
366,300663,31.99
367,300665,726.45
368,300671,220.98
369,300674,279.0
370,300675,174.99
371,300678,34.99
372,300682,19.99
373,300686,769.0
374,300692,16.99
375,300693,59.99
376,300699,47.98
377,300701,109.99
378,300704,512.99
379,300705,29.99
380,300711,335.98
381,300713,54.989999999999995
382,300718,19.99
383,300720,53.980000000000004
384,300725,84.99
385,300726,49.97
386,300728,87.6
387,300731,172.0
388,300733,59.99
389,300736,79.95
390,300737,664.98
391,300738,49.99
392,300739,139.99
393,300744,39.0
394,300746,144.99
395,300757,119.99
396,300760,69.98
397,300761,89.0
398,300764,18.99
399,300773,54.99
400,300775,62.99
401,300778,1234.97
402,300779,118.99
403,300786,44.99
404,300789,149.99
406,300791,39.98
407,300793,156.27
408,300796,284.99
409,300800,119.99
410,300806,139.99
411,300808,64.99
412,300809,149.99
413,300812,19.99
414,300814,62.99
415,300819,59.97
416,300826,49.97
417,300830,149.99
418,300831,175.98
419,300834,79.99
420,300835,479.99
421,300839,103.99
422,300846,170.98
423,300848,114.0
424,300851,24.99
425,300854,29.9
426,300860,77.98
427,300861,49.99
428,300862,132.99
429,300867,39.99
430,300872,129.99
431,300873,29.99
432,300875,69.0
433,300876,301.96999999999997
434,300877,94.99
435,300880,79.98
436,300881,179.96999999999997
437,300882,729.99
438,300883,159.99
439,300889,69.0
440,300896,59.98
441,300898,59.9
